agency_cd,site_no,datetime,tz_cd,,110247_00060,110247_00060_cd
USGS,3145483,2020/1/4,11:45,EST,596,A
USGS,3145483,2020/1/4,12:00,EST,585,A
USGS,3145483,2020/1/4,12:15,EST,580,A
USGS,3145483,2020/1/4,12:30,EST,567,A
USGS,3145483,2020/1/4,12:45,EST,549,A
USGS,3145483,2020/1/4,13:00,EST,546,A
USGS,3145483,2020/1/4,13:15,EST,539,A
USGS,3145483,2020/1/4,13:30,EST,529,A
USGS,3145483,2020/1/4,13:45,EST,523,A
USGS,3145483,2020/1/4,14:00,EST,516,A
USGS,3145483,2020/1/4,14:15,EST,504,A
USGS,3145483,2020/1/4,14:30,EST,499,A
USGS,3145483,2020/1/4,14:45,EST,489,A
USGS,3145483,2020/1/4,15:00,EST,479,A
USGS,3145483,2020/1/4,15:15,EST,477,A
USGS,3145483,2020/1/4,15:30,EST,465,A
USGS,3145483,2020/1/4,15:45,EST,460,A
USGS,3145483,2020/1/4,16:00,EST,457,A
USGS,3145483,2020/1/4,16:15,EST,445,A
USGS,3145483,2020/1/4,16:30,EST,448,A
USGS,3145483,2020/1/4,16:45,EST,438,A
USGS,3145483,2020/1/4,17:00,EST,429,A
USGS,3145483,2020/1/4,17:15,EST,427,A
USGS,3145483,2020/1/4,17:30,EST,422,A
USGS,3145483,2020/1/4,17:45,EST,417,A
USGS,3145483,2020/1/4,18:00,EST,413,A
USGS,3145483,2020/1/4,18:15,EST,408,A
USGS,3145483,2020/1/4,18:30,EST,399,A
USGS,3145483,2020/1/4,18:45,EST,401,A
USGS,3145483,2020/1/4,19:00,EST,397,A
USGS,3145483,2020/1/4,19:15,EST,390,A
USGS,3145483,2020/1/4,19:30,EST,383,A
USGS,3145483,2020/1/4,19:45,EST,386,A
USGS,3145483,2020/1/4,20:00,EST,381,A
USGS,3145483,2020/1/4,20:15,EST,377,A
USGS,3145483,2020/1/4,20:30,EST,370,A
USGS,3145483,2020/1/4,20:45,EST,366,A
USGS,3145483,2020/1/4,21:00,EST,363,A
USGS,3145483,2020/1/4,21:15,EST,359,A
USGS,3145483,2020/1/4,21:30,EST,357,A
USGS,3145483,2020/1/4,21:45,EST,353,A
USGS,3145483,2020/1/4,22:00,EST,348,A
USGS,3145483,2020/1/4,22:15,EST,342,A
USGS,3145483,2020/1/4,22:30,EST,335,A
USGS,3145483,2020/1/4,22:45,EST,335,A
USGS,3145483,2020/1/4,23:00,EST,331,A
USGS,3145483,2020/1/4,23:15,EST,329,A
USGS,3145483,2020/1/4,23:30,EST,327,A
USGS,3145483,2020/1/4,23:45,EST,325,A
USGS,3145483,2020/1/5,00:00,EST,321,A
USGS,3145483,2020/1/5,00:15,EST,321,A
USGS,3145483,2020/1/5,00:30,EST,314,A
USGS,3145483,2020/1/5,00:45,EST,312,A
USGS,3145483,2020/1/5,01:00,EST,310,A
USGS,3145483,2020/1/5,01:15,EST,306,A
USGS,3145483,2020/1/5,01:30,EST,306,A
USGS,3145483,2020/1/5,01:45,EST,302,A
USGS,3145483,2020/1/5,02:00,EST,300,A
USGS,3145483,2020/1/5,02:15,EST,296,A
USGS,3145483,2020/1/5,02:30,EST,292,A
USGS,3145483,2020/1/5,02:45,EST,290,A
USGS,3145483,2020/1/5,03:00,EST,286,A
USGS,3145483,2020/1/5,03:15,EST,284,A
USGS,3145483,2020/1/5,03:30,EST,278,A
USGS,3145483,2020/1/5,03:45,EST,278,A
USGS,3145483,2020/1/5,04:00,EST,276,A
USGS,3145483,2020/1/5,04:15,EST,276,A
